#t_s,value
0.257000,-0.086206
0.258000,-0.089644
0.259000,-0.092793
0.260000,-0.095616
0.261000,-0.098085
0.262000,-0.100172
0.263000,-0.101855
0.264000,-0.103113
0.265000,-0.103931
0.266000,-0.104298
0.267000,-0.104207
0.268000,-0.103655
0.269000,-0.102642
0.270000,-0.101175
0.271000,-0.099262
0.272000,-0.096918
0.273000,-0.094158
0.274000,-0.091004
0.275000,-0.087478
0.276000,-0.083608
0.277000,-0.079424
0.278000,-0.074960
0.279000,-0.070249
0.280000,-0.065328
0.281000,-0.060236
0.282000,-0.055014
0.283000,-0.049701
0.284000,-0.044340
0.285000,-0.038974
0.286000,-0.033644
0.287000,-0.028392
0.288000,-0.023260
0.289000,-0.018286
0.290000,-0.013510
0.291000,-0.008969
0.292000,-0.004700
0.293000,-0.000733
0.294000,0.002899
0.295000,0.006169
0.296000,0.009051
0.297000,0.011524
0.298000,0.013569
0.299000,0.015170
0.300000,0.016313
0.301000,0.016992
0.302000,0.017200
0.303000,0.016937
0.304000,0.016203
0.305000,0.015005
0.306000,0.013350
0.307000,0.011251
0.308000,0.008723
0.309000,0.005785
0.310000,0.002458
0.311000,-0.001235
0.312000,-0.005267
0.313000,-0.009610
0.314000,-0.014234
0.315000,-0.019105
0.316000,-0.024191
0.317000,-0.029456
0.318000,-0.034864
0.319000,-0.040378
0.320000,-0.045963
0.321000,-0.051581
0.322000,-0.057194
0.323000,-0.062769
0.324000,-0.068268
0.325000,-0.073656
0.326000,-0.078903
0.327000,-0.083974
0.328000,-0.088842
0.329000,-0.093477
0.330000,-0.097856
0.331000,-0.101953
0.332000,-0.105749
0.333000,-0.109223
0.334000,-0.112363
0.335000,-0.115154
0.336000,-0.117588
0.337000,-0.119655
0.338000,-0.121353
0.339000,-0.122679
0.340000,-0.123637
0.341000,-0.124229
0.342000,-0.124462
0.343000,-0.124346
0.344000,-0.123893
0.345000,-0.123117
0.346000,-0.122036
0.347000,-0.120666
0.348000,-0.119028
0.349000,-0.117143
0.350000,-0.115037
0.351000,-0.112731
0.352000,-0.110252
0.353000,-0.107625
0.354000,-0.104876
0.355000,-0.102033
0.356000,-0.099121
0.357000,-0.096167
0.358000,-0.093197
0.359000,-0.090236
0.360000,-0.087306
0.361000,-0.084433
0.362000,-0.081638
0.363000,-0.078939
0.364000,-0.076358
0.365000,-0.073909
0.366000,-0.071608
0.367000,-0.069466
0.368000,-0.067498
0.369000,-0.065708
0.370000,-0.064106
0.371000,-0.062693
0.372000,-0.061472
0.373000,-0.060444
0.374000,-0.059602
0.375000,-0.058946
0.376000,-0.058466
0.377000,-0.058153
